Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
Cedar-String-Search-Leads-Feb23,2023-02-28,19686960208,5000.00,176,"29,876",INR,3197.98,0.59%,18.17,4.00
SBR Pravanika | Search | 25 Nov 22,2023-03-01,19031976471,2000.00,5,56,INR,221.85,8.93%,44.37,0.00
Cedar-String-Search-Leads-Feb23,2023-03-01,19686960208,5000.00,154,"27,661",INR,2993.35,0.56%,19.44,7.00
SBR Pravanika | Search | 25 Nov 22,2023-03-02,19031976471,2000.00,6,54,INR,277.14,11.11%,46.19,0.00
Cedar-String-Search-Leads-Feb23,2023-03-02,19686960208,5000.00,207,"31,221",INR,2924.98,0.66%,14.13,6.00
Cedar-String-Search-Leads-Feb23,2023-03-04,19686960208,5000.00,1,136,INR,5.75,0.74%,5.75,0.00
Cedar-String-Search-Leads-Feb23,2023-03-05,19686960208,5000.00,0,0,INR,0.00,0,0,0.00
Cedar-String-Search-Leads-Feb23,2023-03-06,19686960208,5000.00,4,854,INR,32.94,0.47%,8.24,0.00
Cedar-String-Search-Leads-Feb23,2023-03-07,19686960208,5000.00,5,814,INR,65.69,0.61%,13.14,1.00
Cedar-String-Search-Leads-Feb23,2023-03-08,19686960208,5000.00,1,145,INR,10.70,0.69%,10.70,0.00
SBR Pravanika | Search | 25 Nov 22,2023-03-09,19031976471,2000.00,0,0,INR,0.00,0,0,0.00
Cedar-String-Search-Leads-Feb23,2023-03-09,19686960208,5000.00,1,142,INR,13.25,0.70%,13.25,0.00
Life By The Lake | Search | Brand Keywords,2023-03-09,19780090938,500.00,0,0,INR,0.00,0,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-03-10,19031976471,2000.00,13,78,INR,572.24,16.67%,44.02,3.00
Cedar-String-Search-Leads-Feb23,2023-03-10,19686960208,5000.00,266,"25,857",INR,2541.08,1.03%,9.55,8.80
Life By The Lake | Search | Brand Keywords,2023-03-10,19780090938,500.00,5,25,INR,299.12,20.00%,59.82,0.00
SBR Pravanika | Search | 25 Nov 22,2023-03-11,19031976471,2000.00,4,15,INR,158.31,26.67%,39.58,0.00
Cedar-String-Search-Leads-Feb23,2023-03-11,19686960208,5000.00,111,"14,624",INR,1155.26,0.76%,10.41,3.20
Life By The Lake | Search | Brand Keywords,2023-03-11,19780090938,500.00,1,18,INR,49.40,5.56%,49.40,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-11,19789493181,2000.00,3,147,INR,244.85,2.04%,81.62,0.00
Life By The Lake | Search | Brand Keywords,2023-03-12,19780090938,500.00,2,20,INR,78.59,10.00%,39.30,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-12,19789493181,2000.00,21,805,INR,2691.86,2.61%,128.18,0.00
Life By The Lake | Search | Brand Keywords,2023-03-13,19780090938,500.00,1,24,INR,48.88,4.17%,48.88,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-13,19789493181,2000.00,33,706,INR,4005.68,4.67%,121.38,1.00
Life By The Lake | Search | Brand Keywords,2023-03-14,19780090938,500.00,5,25,INR,1222.37,20.00%,244.47,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-14,19789493181,2000.00,37,996,INR,4611.29,3.71%,124.63,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-14,19805351172,13000.00,1,49,INR,91.05,2.04%,91.05,0.00
Life By The Lake | Search | Brand Keywords,2023-03-15,19780090938,500.00,8,25,INR,1065.17,32.00%,133.15,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-15,19789493181,2000.00,28,928,INR,3690.32,3.02%,131.80,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-15,19805351172,13000.00,7,206,INR,660.85,3.40%,94.41,0.00
SBR Minara | Search | 15 Mar 2023,2023-03-15,19811495709,5000.00,8,164,INR,411.32,4.88%,51.42,1.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-15,19811744292,4000.00,8,39,INR,534.42,20.51%,66.80,3.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-15,19819069403,2500.00,20,138,INR,1932.53,14.49%,96.63,0.00
Life By The Lake | Search | Brand Keywords,2023-03-16,19780090938,500.00,7,40,INR,1760.34,17.50%,251.48,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-16,19789493181,2000.00,29,803,INR,3434.80,3.61%,118.44,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-16,19805351172,13000.00,20,246,INR,1749.76,8.13%,87.49,0.00
SBR Minara | Search | 15 Mar 2023,2023-03-16,19811495709,5000.00,46,502,INR,3531.37,9.16%,76.77,12.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-16,19811744292,4000.00,13,86,INR,940.41,15.12%,72.34,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-16,19819069403,2500.00,54,481,INR,5202.32,11.23%,96.34,0.00
Life By The Lake | Search | Brand Keywords,2023-03-17,19780090938,500.00,10,73,INR,2061.31,13.70%,206.13,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-17,19789493181,2000.00,27,968,INR,3385.55,2.79%,125.39,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-17,19805351172,13000.00,20,266,INR,1962.92,7.52%,98.15,1.00
SBR Minara | Search | 15 Mar 2023,2023-03-17,19811495709,5000.00,46,556,INR,4664.04,8.27%,101.39,7.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-17,19811744292,4000.00,13,114,INR,1002.39,11.40%,77.11,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-17,19819069403,2500.00,53,486,INR,5516.31,10.91%,104.08,0.00
Life By The Lake | Search | Brand Keywords,2023-03-18,19780090938,500.00,10,87,INR,1943.37,11.49%,194.34,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-18,19789493181,2000.00,39,"1,420",INR,5291.62,2.75%,135.68,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-18,19805351172,13000.00,19,370,INR,2057.28,5.14%,108.28,0.00
SBR Minara | Search | 15 Mar 2023,2023-03-18,19811495709,5000.00,72,700,INR,6868.41,10.29%,95.39,8.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-18,19811744292,4000.00,16,115,INR,981.44,13.91%,61.34,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-18,19819069403,2500.00,66,696,INR,6951.96,9.48%,105.33,0.00
Life By The Lake | Search | Brand Keywords,2023-03-19,19780090938,500.00,9,76,INR,1750.30,11.84%,194.48,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-19,19789493181,2000.00,54,"1,380",INR,7681.01,3.91%,142.24,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-19,19805351172,13000.00,19,433,INR,2024.87,4.39%,106.57,2.00
SBR Minara | Search | 15 Mar 2023,2023-03-19,19811495709,5000.00,113,849,INR,9965.45,13.31%,88.19,13.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-19,19811744292,4000.00,10,117,INR,575.75,8.55%,57.58,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-19,19819069403,2500.00,72,576,INR,7180.58,12.50%,99.73,0.00
Life By The Lake | Search | Brand Keywords,2023-03-20,19780090938,500.00,9,68,INR,1373.23,13.24%,152.58,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-20,19789493181,2000.00,24,"1,338",INR,3931.44,1.79%,163.81,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-20,19805351172,13000.00,28,431,INR,3084.56,6.50%,110.16,5.00
SBR Minara | Search | 15 Mar 2023,2023-03-20,19811495709,5000.00,98,723,INR,7217.15,13.55%,73.64,13.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-20,19811744292,4000.00,14,100,INR,1204.87,14.00%,86.06,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-20,19819069403,2500.00,60,364,INR,6238.59,16.48%,103.98,0.00
Life By The Lake | Search | Brand Keywords,2023-03-21,19780090938,500.00,7,68,INR,1056.29,10.29%,150.90,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-21,19789493181,2000.00,23,862,INR,2867.56,2.67%,124.68,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-21,19805351172,13000.00,21,292,INR,2595.36,7.19%,123.59,0.00
SBR Minara | Search | 15 Mar 2023,2023-03-21,19811495709,5000.00,86,659,INR,7058.98,13.05%,82.08,13.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-21,19811744292,4000.00,17,107,INR,1035.98,15.89%,60.94,3.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-21,19819069403,2500.00,84,429,INR,6018.93,19.58%,71.65,0.00
Life By The Lake | Search | Brand Keywords,2023-03-22,19780090938,500.00,9,55,INR,2972.17,16.36%,330.24,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-22,19789493181,2000.00,39,"1,009",INR,5355.80,3.87%,137.33,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-22,19805351172,13000.00,30,339,INR,3650.29,8.85%,121.68,5.00
SBR Minara | Search | 15 Mar 2023,2023-03-22,19811495709,5000.00,65,562,INR,5525.16,11.57%,85.00,11.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-22,19811744292,4000.00,11,55,INR,944.84,20.00%,85.89,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-22,19819069403,2500.00,101,457,INR,5843.20,22.10%,57.85,0.00
Life By The Lake | Search | Brand Keywords,2023-03-23,19780090938,500.00,5,35,INR,704.10,14.29%,140.82,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-23,19789493181,2000.00,15,329,INR,1821.28,4.56%,121.42,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-23,19805351172,13000.00,4,126,INR,427.67,3.17%,106.92,0.00
SBR Minara | Search | 15 Mar 2023,2023-03-23,19811495709,5000.00,16,193,INR,1670.16,8.29%,104.39,21.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-23,19811744292,4000.00,5,25,INR,478.67,20.00%,95.73,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-23,19819069403,2500.00,32,234,INR,2127.95,13.68%,66.50,0.00
Life By The Lake | Search | Brand Keywords,2023-03-24,19780090938,500.00,10,79,INR,1140.37,12.66%,114.04,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-24,19789493181,2000.00,43,"1,069",INR,5703.38,4.02%,132.64,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-24,19805351172,13000.00,22,298,INR,2781.46,7.38%,126.43,2.00
SBR Minara | Search | 15 Mar 2023,2023-03-24,19811495709,5000.00,52,519,INR,4965.38,10.02%,95.49,5.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-24,19811744292,4000.00,16,101,INR,1257.50,15.84%,78.59,4.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-24,19819069403,2500.00,81,391,INR,5955.90,20.72%,73.53,0.00
Life By The Lake | Search | Brand Keywords,2023-03-25,19780090938,500.00,13,66,INR,2506.00,19.70%,192.77,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-25,19789493181,2000.00,38,"1,223",INR,4916.52,3.11%,129.38,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-25,19805351172,13000.00,30,401,INR,3511.35,7.48%,117.05,3.00
SBR Minara | Search | 15 Mar 2023,2023-03-25,19811495709,5000.00,74,609,INR,7837.12,12.15%,105.91,15.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-25,19811744292,4000.00,14,118,INR,1183.02,11.86%,84.50,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-25,19819069403,2500.00,106,616,INR,5993.91,17.21%,56.55,1.00
Life By The Lake | Search | Brand Keywords,2023-03-26,19780090938,500.00,11,75,INR,2065.01,14.67%,187.73,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-26,19789493181,2000.00,24,489,INR,2847.13,4.91%,118.63,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-26,19805351172,13000.00,38,371,INR,4625.14,10.24%,121.71,1.00
SBR Minara | Search | 15 Mar 2023,2023-03-26,19811495709,5000.00,65,748,INR,5638.80,8.69%,86.75,3.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-26,19811744292,4000.00,8,69,INR,512.27,11.59%,64.03,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-26,19819069403,2500.00,86,422,INR,5481.86,20.38%,63.74,0.00
Life By The Lake | Search | Brand Keywords,2023-03-27,19780090938,500.00,23,102,INR,2806.49,22.55%,122.02,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-27,19789493181,2000.00,11,45,INR,747.25,24.44%,67.93,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-27,19805351172,13000.00,40,355,INR,5009.58,11.27%,125.24,9.00
SBR Minara | Search | 15 Mar 2023,2023-03-27,19811495709,5000.00,81,668,INR,7407.06,12.13%,91.45,13.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-27,19811744292,4000.00,10,110,INR,758.17,9.09%,75.82,2.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-27,19819069403,2500.00,78,523,INR,5171.68,14.91%,66.30,0.00
Life By The Lake | Search | Brand Keywords,2023-03-28,19780090938,500.00,17,80,INR,2720.43,21.25%,160.03,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-28,19789493181,2000.00,11,50,INR,982.44,22.00%,89.31,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-28,19805351172,13000.00,44,316,INR,4826.03,13.92%,109.68,4.00
SBR Minara | Search | 15 Mar 2023,2023-03-28,19811495709,5000.00,46,585,INR,3987.24,7.86%,86.68,8.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-28,19811744292,4000.00,13,65,INR,576.07,20.00%,44.31,2.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-28,19819069403,2500.00,85,403,INR,4883.90,21.09%,57.46,0.00
Life By The Lake | Search | Brand Keywords,2023-03-29,19780090938,500.00,14,71,INR,1085.64,19.72%,77.55,2.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-29,19789493181,2000.00,15,47,INR,1122.77,31.91%,74.85,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-29,19805351172,13000.00,38,306,INR,4108.56,12.42%,108.12,3.00
SBR Minara | Search | 15 Mar 2023,2023-03-29,19811495709,5000.00,53,540,INR,5270.32,9.81%,99.44,6.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-29,19811744292,4000.00,3,63,INR,160.12,4.76%,53.37,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-29,19819069403,2500.00,84,443,INR,4788.89,18.96%,57.01,0.00
Life By The Lake | Search | Brand Keywords,2023-03-30,19780090938,500.00,12,77,INR,2040.35,15.58%,170.03,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-30,19789493181,2000.00,13,30,INR,1012.82,43.33%,77.91,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-30,19805351172,13000.00,33,267,INR,3401.24,12.36%,103.07,2.00
SBR Minara | Search | 15 Mar 2023,2023-03-30,19811495709,5000.00,48,499,INR,4645.29,9.62%,96.78,2.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-30,19811744292,4000.00,7,63,INR,497.21,11.11%,71.03,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-30,19819069403,2500.00,98,495,INR,4521.25,19.80%,46.14,0.00
Tropical Garden - Search - 30 Mar 2023,2023-03-30,19908282121,10000.00,4,49,INR,213.05,8.16%,53.26,0.00
Life By The Lake | Search | Brand Keywords,2023-03-31,19780090938,500.00,12,54,INR,2203.83,22.22%,183.65,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-03-31,19789493181,2000.00,2,29,INR,255.15,6.90%,127.58,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-03-31,19805351172,13000.00,37,292,INR,4467.80,12.67%,120.75,4.00
SBR Minara | Search | 15 Mar 2023,2023-03-31,19811495709,5000.00,43,532,INR,3927.00,8.08%,91.33,3.00
SBR Pravanika | Search | 15 Mar 2023,2023-03-31,19811744292,4000.00,15,99,INR,1088.10,15.15%,72.54,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-03-31,19819069403,2500.00,64,379,INR,3661.02,16.89%,57.20,0.00
Tropical Garden - Search - 30 Mar 2023,2023-03-31,19908282121,10000.00,22,306,INR,642.32,7.19%,29.20,0.00
Life By The Lake | Search | Brand Keywords,2023-04-01,19780090938,500.00,18,83,INR,2941.18,21.69%,163.40,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-01,19789493181,2000.00,8,28,INR,450.04,28.57%,56.26,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-01,19805351172,13000.00,36,348,INR,4228.67,10.34%,117.46,4.00
SBR Minara | Search | 15 Mar 2023,2023-04-01,19811495709,5000.00,52,623,INR,5211.80,8.35%,100.23,13.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-01,19811744292,4000.00,7,106,INR,674.77,6.60%,96.40,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-01,19819069403,2500.00,80,551,INR,5279.38,14.52%,65.99,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-01,19908282121,10000.00,24,386,INR,1084.83,6.22%,45.20,0.00
Life By The Lake | Search | Brand Keywords,2023-04-02,19780090938,500.00,10,36,INR,1159.50,27.78%,115.95,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-02,19789493181,2000.00,2,6,INR,90.27,33.33%,45.14,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-02,19805351172,13000.00,12,106,INR,1162.36,11.32%,96.86,1.00
SBR Minara | Search | 15 Mar 2023,2023-04-02,19811495709,5000.00,8,165,INR,930.13,4.85%,116.27,3.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-02,19811744292,4000.00,2,34,INR,178.58,5.88%,89.29,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-02,19819069403,2500.00,50,223,INR,2733.03,22.42%,54.66,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-02,19908282121,10000.00,10,94,INR,519.11,10.64%,51.91,0.00
Life By The Lake | Search | Brand Keywords,2023-04-03,19780090938,500.00,16,38,INR,1197.09,42.11%,74.82,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-03,19789493181,2000.00,3,9,INR,235.68,33.33%,78.56,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-03,19805351172,13000.00,14,178,INR,1541.29,7.87%,110.09,0.00
SBR Minara | Search | 15 Mar 2023,2023-04-03,19811495709,5000.00,38,447,INR,3099.22,8.50%,81.56,6.50
SBR Pravanika | Search | 15 Mar 2023,2023-04-03,19811744292,4000.00,6,42,INR,360.22,14.29%,60.04,2.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-03,19819069403,2500.00,135,528,INR,8289.38,25.57%,61.40,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-03,19908282121,10000.00,14,238,INR,619.17,5.88%,44.23,0.00
Life By The Lake | Search | Brand Keywords,2023-04-04,19780090938,500.00,19,80,INR,2393.20,23.75%,125.96,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-04,19789493181,2000.00,3,21,INR,182.56,14.29%,60.85,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-04,19805351172,13000.00,37,300,INR,4268.30,12.33%,115.36,0.00
SBR Minara | Search | 15 Mar 2023,2023-04-04,19811495709,5000.00,79,667,INR,4966.19,11.84%,62.86,4.50
SBR Pravanika | Search | 15 Mar 2023,2023-04-04,19811744292,4000.00,8,53,INR,468.89,15.09%,58.61,2.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-04,19819069403,2500.00,123,474,INR,5623.01,25.95%,45.72,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-04,19908282121,10000.00,24,231,INR,762.97,10.39%,31.79,0.00
Life By The Lake | Search | Brand Keywords,2023-04-05,19780090938,500.00,23,62,INR,1880.59,37.10%,81.76,1.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-05,19789493181,2000.00,3,13,INR,258.15,23.08%,86.05,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-05,19805351172,13000.00,22,252,INR,2546.33,8.73%,115.74,2.00
SBR Minara | Search | 15 Mar 2023,2023-04-05,19811495709,5000.00,58,561,INR,5242.64,10.34%,90.39,12.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-05,19811744292,4000.00,12,83,INR,694.64,14.46%,57.89,0.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-05,19819069403,2500.00,117,492,INR,5711.09,23.78%,48.81,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-05,19908282121,10000.00,9,81,INR,464.22,11.11%,51.58,1.00
Life By The Lake | Search | Brand Keywords,2023-04-06,19780090938,500.00,8,53,INR,995.45,15.09%,124.43,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-06,19789493181,2000.00,7,31,INR,711.50,22.58%,101.64,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-06,19805351172,13000.00,32,249,INR,4061.75,12.85%,126.93,2.00
SBR Minara | Search | 15 Mar 2023,2023-04-06,19811495709,5000.00,6,111,INR,661.64,5.41%,110.27,0.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-06,19811744292,4000.00,6,52,INR,416.63,11.54%,69.44,1.00
SBR Earth & Sky | Search | 15 Mar 2023,2023-04-06,19819069403,2500.00,48,180,INR,2315.19,26.67%,48.23,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-06,19908282121,10000.00,0,0,INR,0.00,0,0,0.00
Life By The Lake | Search | Brand Keywords,2023-04-07,19780090938,500.00,16,101,INR,2475.27,15.84%,154.70,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-07,19789493181,2000.00,8,41,INR,641.35,19.51%,80.17,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-07,19805351172,13000.00,26,311,INR,2738.47,8.36%,105.33,1.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-07,19811744292,4000.00,3,52,INR,223.44,5.77%,74.48,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-07,19908282121,10000.00,31,289,INR,1627.16,10.73%,52.49,2.00
Life By The Lake | Search | Brand Keywords,2023-04-08,19780090938,500.00,18,106,INR,3954.93,16.98%,219.72,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-08,19789493181,2000.00,4,27,INR,231.70,14.81%,57.93,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-08,19805351172,13000.00,29,361,INR,3213.14,8.03%,110.80,2.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-08,19811744292,4000.00,8,80,INR,488.92,10.00%,61.12,1.00
Tropical Garden - Search - 30 Mar 2023,2023-04-08,19908282121,10000.00,29,419,INR,1656.56,6.92%,57.12,1.00
Life By The Lake | Search | Brand Keywords,2023-04-09,19780090938,500.00,19,115,INR,2654.77,16.52%,139.72,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-09,19789493181,2000.00,8,20,INR,894.02,40.00%,111.75,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-09,19805351172,13000.00,22,366,INR,2484.98,6.01%,112.95,1.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-09,19811744292,4000.00,11,88,INR,706.38,12.50%,64.22,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-09,19908282121,10000.00,42,467,INR,2304.86,8.99%,54.88,1.00
Life By The Lake | Search | Brand Keywords,2023-04-10,19780090938,500.00,17,100,INR,4065.34,17.00%,239.14,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-10,19789493181,2000.00,4,22,INR,478.69,18.18%,119.67,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-10,19805351172,13000.00,25,323,INR,2961.23,7.74%,118.45,0.00
SBR Pravanika | Search | 15 Mar 2023,2023-04-10,19811744292,4000.00,2,46,INR,173.51,4.35%,86.76,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-10,19908282121,10000.00,41,459,INR,2250.96,8.93%,54.90,1.00
Life By The Lake | Search | Brand Keywords,2023-04-11,19780090938,500.00,16,71,INR,1743.39,22.54%,108.96,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-11,19789493181,2000.00,0,13,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-11,19805351172,13000.00,17,223,INR,1993.86,7.62%,117.29,1.00
Tropical Garden - Search - 30 Mar 2023,2023-04-11,19908282121,10000.00,19,272,INR,1027.20,6.99%,54.06,1.00
Life By The Lake | Search | Brand Keywords,2023-04-12,19780090938,500.00,13,64,INR,2266.37,20.31%,174.34,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-12,19789493181,2000.00,5,24,INR,577.04,20.83%,115.41,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-12,19805351172,13000.00,14,186,INR,1531.21,7.53%,109.37,1.00
Tropical Garden - Search - 30 Mar 2023,2023-04-12,19908282121,10000.00,27,302,INR,1288.70,8.94%,47.73,1.00
Life By The Lake | Search | Brand Keywords,2023-04-13,19780090938,500.00,17,91,INR,3419.54,18.68%,201.15,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-13,19789493181,2000.00,3,28,INR,351.39,10.71%,117.13,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-13,19805351172,13000.00,18,223,INR,1870.03,8.07%,103.89,0.00
Tropical Garden - Search - 30 Mar 2023,2023-04-13,19908282121,10000.00,15,258,INR,846.45,5.81%,56.43,1.00
Life By The Lake | Search | Brand Keywords,2023-04-14,19780090938,500.00,11,77,INR,1752.56,14.29%,159.32,0.00
Cedar String | Search | Brand | 11 Mar 2023,2023-04-14,19789493181,2000.00,7,19,INR,724.89,36.84%,103.56,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2023-04-14,19805351172,13000.00,10,273,INR,1123.16,3.66%,112.32,1.00
Tropical Garden - Search - 30 Mar 2023,2023-04-14,19908282121,10000.00,22,294,INR,1231.66,7.48%,55.98,1.00
